episode,time,delta_s,delta_v_s,v_s,acc,delta_d,difficulty,,
3,7.4,-1.1831051,2.3537457,10.033934,0.25733173,-3.5300932,0.2,,
3,7.5,-0.9478603,2.357532,10.078369,0.44435295,-3.5269003,0.2,,
3,7.6,-0.70977837,2.3946576,10.2436,1.6523036,-3.5231295,0.2,,
3,7.7,-0.46639243,2.4778605,10.446603,2.030027,-3.5188498,0.2,,
3,7.8,-0.20885122,2.6736927,10.583997,1.37394,-3.5142915,0.2,,
3,7.9,0.070236325,2.8268194,10.691352,1.0735471,-3.5095716,0.2,,
3,8,0.3421856,2.6278167,10.866456,1.7510426,-3.5048854,0.2,,
3,8.1,0.59286785,2.4130793,11.056079,1.8962289,-3.5005112,0.2,,
3,8.2,0.8242605,2.2528007,11.191273,1.3519356,-3.4966102,0.2,,
3,8.3,1.0456158,2.1900926,11.228425,0.3715271,-3.4933064,0.2,,
3,8.4,1.263133,2.1649976,11.255831,0.27405456,-3.4907007,0.2,,
3,8.5,1.4849861,2.2110636,11.346988,0.911572,-3.4888215,0.2,,
3,8.6,1.6977267,2.0603743,11.373828,0.26839915,-3.4877484,0.2,,
3,8.7,1.8928927,1.858872,11.330029,-0.43799418,-3.48746,0.2,,
3,8.8,2.060129,1.4984936,11.391326,0.61297417,-3.4877763,0.2,,
3,8.9,2.1870098,1.0989121,11.506751,1.1542546,-3.4888492,0.2,,
3,9,2.284375,0.9090651,11.596843,0.9009154,-3.4914412,0.2,,
3,9.1,2.376426,0.97506446,11.654987,0.581446,-3.4975595,0.2,,
3,9.2,2.479839,1.1625748,11.709964,0.5497744,-3.5080333,0.2,,
3,9.3,2.596612,1.3596814,11.815744,1.0577232,-3.5204706,0.2,,
3,9.4,2.7387757,1.6204957,11.826927,0.11177756,-3.5329468,0.2,,
3,9.5,2.9042785,1.7253008,11.725665,-1.0125879,-3.5438814,0.2,,
3,9.6,3.0712256,1.5800042,11.683489,-0.4216666,-3.553454,0.2,,
3,9.7,3.2108018,1.2205564,11.769895,0.8641204,-3.5615766,0.2,,
3,9.8,3.3108375,0.8493304,11.864914,0.9501544,-3.5674796,0.2,,
3,9.9,3.3929067,0.8483832,11.767726,-0.9719695,-3.5710013,0.2,,
3,10,3.4885736,1.0287808,11.558267,-2.0946858,-3.5723162,0.2,,
3,10.1,3.5965867,1.1029234,11.452339,-1.0593569,-3.5716493,0.2,,
3,10.2,3.7016623,1.0039669,11.519531,0.6718358,-3.5692723,0.2,,
3,10.3,3.7928863,0.8652776,11.626536,1.0699846,-3.5654504,0.2,,
3,10.4,3.879806,0.8952829,11.563865,-0.6267696,-3.560426,0.2,,
3,10.5,3.9846132,1.1883633,11.41668,-1.471894,-3.5544703,0.2,,
3,10.6,4.1198473,1.4556386,11.390265,-0.26417243,-3.547831,0.2,,
3,10.7,4.275162,1.6187583,11.504258,1.1399007,-3.5407803,0.2,,
3,10.8,4.442624,1.7130374,11.650949,1.4669002,-3.533612,0.2,,
3,10.9,4.60902,1.5974014,11.781694,1.3074576,-3.5267055,0.2,,
3,11,4.7519493,1.2776902,11.970876,1.891813,-3.5204275,0.2,,
3,11.1,4.8579507,0.8797055,12.178692,2.078179,-3.515015,0.2,,
3,11.2,4.9258327,0.52019846,12.355479,1.7678885,-3.510624,0.2,,
3,11.3,4.9660926,0.3423253,12.493128,1.3764961,-3.5073178,0.2,,
3,11.4,5.002809,0.4197066,12.546125,0.5299991,-3.505099,0.2,,
3,11.5,5.0560346,0.6362399,12.551054,0.049292423,-3.5039544,0.2,,
3,11.6,5.1305614,0.82127094,12.5771055,0.26053283,-3.503845,0.2,,
3,11.7,5.2124453,0.7786328,12.617034,0.3992933,-3.5047174,0.2,,
3,11.8,5.281545,0.6073515,12.648696,0.31662926,-3.5064108,0.2,,
3,11.9,5.331542,0.39712682,12.663386,0.14690399,-3.5087082,0.2,,
3,12,5.3562055,0.12121405,12.75214,0.887537,-3.5113823,0.2,,
3,12.1,5.3567533,-0.03995699,12.870055,1.1791515,-3.5142477,0.2,,
3,12.2,5.356779,0.055743262,12.866862,-0.031929027,-3.5172038,0.2,,
3,12.3,5.3649626,0.09995914,12.780078,-0.8678531,-3.520056,0.2,,
3,12.4,5.3755007,0.08092267,12.756688,-0.2338979,-3.5225966,0.2,,
3,12.5,5.3781815,-0.02605996,12.820676,0.6398683,-3.5246809,0.2,,
3,12.6,5.371219,-0.07978646,12.830912,0.102349274,-3.5262237,0.2,,
3,12.7,5.3686357,0.054480616,12.667028,-1.6388402,-3.5271752,0.2,,
3,12.8,5.3952928,0.45337808,12.433635,-2.3339443,-3.5275164,0.2,,
3,12.9,5.4594545,0.7733879,12.325402,-1.0823414,-3.5272012,0.2,,
3,13,5.5465956,0.90496796,12.381707,0.56304324,-3.526212,0.2,,
3,13.1,5.6328883,0.8096834,12.477401,0.95693046,-3.5245428,0.2,,
3,13.2,5.7097354,0.7451894,12.428148,-0.49253,-3.5222964,0.2,,
3,13.3,5.7828984,0.7198631,12.313747,-1.1440132,-3.519585,0.2,,
3,13.4,5.8492193,0.61656463,12.317737,0.039878912,-3.5165255,0.2,,
3,13.5,5.9049387,0.5241663,12.441534,1.237971,-3.513211,0.2,,
3,13.6,5.956376,0.5257207,12.584373,1.4283916,-3.5097413,0.2,,
3,13.7,6.0166707,0.6615119,12.602008,0.17634091,-3.5062397,0.2,,
3,13.8,6.0876007,0.7171397,12.537663,-0.6434473,-3.5028572,0.2,,
3,13.9,6.1523995,0.5636526,12.573206,0.35542196,-3.4997225,0.2,,
3,14,6.19251,0.29253328,12.656374,0.83167756,-3.4705994,0.2,,
3,14.1,6.214209,0.20290399,12.601435,-0.5493965,-3.3835661,0.2,,
3,14.2,6.2433033,0.3411421,12.423441,-1.779933,-3.2253072,0.2,,
3,14.3,6.2875066,0.43331364,12.342514,-0.8092736,-2.9930084,0.2,,
3,14.4,6.33442,0.40702584,12.404211,0.61697567,-2.6888816,0.2,,
3,14.5,6.3762302,0.3475221,12.483487,0.79275656,-2.3202193,0.2,,
3,14.6,6.413154,0.32494408,12.377948,-1.0553899,-1.9018286,0.2,,
3,14.7,6.450721,0.36469084,12.152456,-2.2549229,-1.45361,0.2,,
3,14.8,6.4880824,0.33228627,12.028729,-1.2372663,-0.9949864,0.2,,
3,14.9,6.5218472,0.3402228,12.019717,-0.090119556,-0.54233766,0.2,,
3,15,6.560865,0.47517306,11.927047,-0.92670286,-0.11131472,0.2,,
3,15.1,6.620727,0.74319756,11.724966,-2.0208073,0.2833196,0.2,,
3,15.2,6.7035685,0.9293484,11.606912,-1.1805434,0.6289248,0.2,,
3,15.3,6.7950826,0.9535279,11.634794,0.27881756,0.91563964,0.2,,
3,15.4,6.8736367,0.7714862,11.673822,0.39028278,1.1347282,0.2,,
3,15.5,6.957362,0.9782516,11.540442,-1.3338002,1.28424,0.2,,
3,15.6,7.074854,1.3563777,11.331619,-2.0882244,1.3655286,0.2,,
3,15.7,7.2272625,1.6388218,11.251379,-0.80240345,1.3794162,0.2,,
3,15.8,7.3995986,1.7651232,11.332805,0.81425697,1.3277247,0.2,,
3,15.9,7.5796084,1.7928663,11.460466,1.2766175,1.2132972,0.2,,
3,16,7.7571907,1.7096453,11.509941,0.49474686,1.042153,0.2,,
3,16.1,7.9196305,1.4993056,11.522388,0.12447296,0.8248153,0.2,,
3,16.2,8.054128,1.1666256,11.601974,0.7958506,0.5744309,0.2,,
3,16.3,8.150361,0.7727911,11.766601,1.6462713,0.30419585,0.2,,
3,16.4,8.212949,0.5263829,11.949593,1.8299205,0.025206465,0.2,,
3,16.5,8.264801,0.54437,12.057895,1.0830212,-0.25407705,0.2,,
3,16.6,8.330737,0.7777125,12.056821,-0.010739347,-0.5253378,0.2,,
3,16.7,8.425521,1.0916495,12.027258,-0.29563072,-0.77990687,0.2,,
3,16.8,8.545291,1.2677284,12.108628,0.81370306,-1.0085272,0.2,,
3,16.9,8.665889,1.1436859,12.266011,1.5738299,-1.2003653,0.2,,
3,17,8.764168,0.8785821,12.409538,1.435271,-1.3471334,0.2,,
3,17.1,8.837579,0.6326135,12.459205,0.49666396,-1.4451303,0.2,,
3,17.2,8.886189,0.37294766,12.511685,0.5248067,-1.4940541,0.2,,
3,17.3,8.912153,0.19165248,12.610231,0.9854605,-1.4960222,0.2,,
3,17.4,8.929539,0.1446031,12.701545,0.913134,-1.4545932,0.2,,
3,17.5,8.935124,-0.012418176,12.762999,0.6145383,-1.3745308,0.2,,
3,17.6,8.9287405,-0.110822126,12.764817,0.018186264,-1.2616811,0.2,,
3,17.7,8.913579,-0.21301877,12.775281,0.10463698,-1.1228247,0.2,,
3,17.8,8.884841,-0.3525088,12.831102,0.5582145,-0.96513635,0.2,,
3,17.9,8.84652,-0.4034644,12.820263,-0.108394764,-0.7960859,0.2,,
3,18,8.816111,-0.22606394,12.79078,-0.29482865,-0.6212748,0.2,,
3,18.1,8.80587,0.013092542,12.752742,-0.38038287,-0.44621614,0.2,,
3,18.2,8.823621,0.3207724,12.673211,-0.79530776,-0.2770553,0.2,,
3,18.3,8.871893,0.60424244,12.633125,-0.40085813,-0.11988888,0.2,,
3,18.4,8.940865,0.73144186,12.709061,0.7593546,0.019371215,0.2,,
3,18.5,9.008159,0.6060758,12.837135,1.2807478,0.13419385,0.2,,
3,18.6,9.056827,0.3972822,12.923791,0.8665571,0.21983215,0.2,,
3,18.7,9.086354,0.22998683,12.916992,-0.067987084,0.2742615,0.2,,
3,18.8,9.102221,0.11752387,12.855268,-0.61724687,0.29750952,0.2,,
3,18.9,9.111011,0.06947429,12.843992,-0.11275267,0.2912887,0.2,,
3,19,9.119047,0.1073775,12.883382,0.39389676,0.25788748,0.2,,
3,19.1,9.141019,0.33496296,12.804207,-0.79175025,0.199929,0.2,,
3,19.2,9.1948185,0.68985397,12.613298,-1.9090855,0.12037997,0.2,,
3,19.3,9.280512,0.9466402,12.457238,-1.560603,0.023163898,0.2,,
3,19.4,9.373541,0.87667656,12.455822,-0.014161766,-0.086215906,0.2,,
3,19.5,9.449208,0.6535042,12.522765,0.6694326,-0.20139168,0.2,,
3,19.6,9.504014,0.48024562,12.535508,0.12743056,-0.3165638,0.2,,
3,19.7,9.549941,0.45520216,12.517344,-0.18163669,-0.42720982,0.2,,
3,19.8,9.596226,0.4701102,12.598502,0.8115684,-0.530086,0.2,,
3,19.9,9.644954,0.52112794,12.716452,1.1794962,-0.62218326,0.2,,
3,20,9.702803,0.6301683,12.764572,0.4812057,-0.7003863,0.2,,
3,20.1,9.766008,0.6108094,12.759369,-0.052032236,-0.7612962,0.2,,
3,20.2,9.817746,0.4192397,12.813146,0.5377681,-0.80269915,0.2,,
3,20.3,9.843901,0.13644262,12.938345,1.2519947,-0.8240803,0.2,,
3,20.4,9.846292,-0.03417034,13.05968,1.2133517,-0.82609427,0.2,,
3,20.5,9.8441105,0.019681746,13.09147,0.31789845,-0.81004184,0.2,,
3,20.6,9.8568735,0.21466342,13.053202,-0.38268104,-0.7774691,0.2,,
3,20.7,9.885359,0.30564025,13.107255,0.5405337,-0.7301984,0.2,,
3,20.8,9.909739,0.17293687,13.205015,0.9776028,-0.6709989,0.2,,
3,20.9,9.916721,-0.013858935,13.247409,0.4239375,-0.60363394,0.2,,
3,21,9.905137,-0.20701113,13.27001,0.2260024,-0.53190356,0.2,,
3,21.1,9.871207,-0.44546238,13.373053,1.0304272,-0.45924067,0.2,,
3,21.2,9.8179035,-0.5679688,13.492069,1.1901677,-0.3884329,0.2,,
3,21.3,9.765258,-0.46260893,13.503758,0.11689199,-0.32161087,0.2,,
3,21.4,9.731269,-0.23916465,13.457273,-0.46485934,-0.26089126,0.2,,
3,21.5,9.715158,-0.1288184,13.506239,0.48966464,-0.20840529,0.2,,
3,21.6,9.69533,-0.28576195,13.6381,1.3186088,-0.16651775,0.2,,
3,21.7,9.651173,-0.5570173,13.7710085,1.3290894,-0.13684903,0.2,,
3,21.8,9.585601,-0.7027434,13.759835,-0.11173255,-0.11987372,0.2,,
3,21.9,9.517427,-0.6401973,13.650196,-1.0963926,-0.115311965,0.2,,
3,22,9.463333,-0.44588828,13.544538,-1.0565863,-0.122422114,0.2,,
3,22.1,9.433464,-0.17186676,13.430554,-1.1398326,-0.1403142,0.2,,
3,22.2,9.432178,0.097494185,13.309447,-1.2110723,-0.16792001,0.2,,
3,22.3,9.449298,0.21345115,13.161153,-1.4829363,-0.2035818,0.2,,
3,22.4,9.473015,0.24294162,12.988993,-1.7216032,-0.24495262,0.2,,
3,22.5,9.496629,0.23341785,12.839516,-1.4947715,-0.28963462,0.2,,
3,22.6,9.521638,0.2701257,12.736166,-1.0334979,-0.3355729,0.2,,
3,22.7,9.5543585,0.3816249,12.697029,-0.39136925,-0.3811068,0.2,,
3,22.8,9.602654,0.58610964,12.646563,-0.504666,-0.42470583,0.2,,
3,22.9,9.676137,0.8315566,12.548244,-0.9831821,-0.46476582,0.2,,
3,23,9.76105,0.8193719,12.529397,-0.18847486,-0.49943858,0.2,,
3,23.1,9.831946,0.6049926,12.603076,0.73679024,-0.5271873,0.2,,
3,23.2,9.878295,0.35869756,12.692063,0.8898741,-0.5472466,0.2,,
3,23.3,9.90685,0.25952402,12.744913,0.52849805,-0.5594072,0.2,,
3,23.4,9.935888,0.32113913,12.773213,0.28300294,-0.5638565,0.2,,
3,23.5,9.971659,0.38247892,12.873353,1.001397,-0.5609059,0.2,,
3,23.6,10.01244,0.42545602,12.980002,1.0664948,-0.5509383,0.2,,
3,23.7,10.056238,0.45134205,12.922833,-0.57169,-0.5346501,0.2,,
3,23.8,10.104044,0.4899851,12.742139,-1.8069476,-0.5132421,0.2,,
3,23.9,10.150073,0.41622952,12.657305,-0.8483418,-0.48813146,0.2,,
3,24,10.185587,0.31200132,12.714596,0.5729107,-0.46060362,0.2,,
3,24.1,10.215034,0.30121735,12.815323,1.0072718,-0.43174705,0.2,,
3,24.2,10.249452,0.37619346,12.902421,0.87098193,-0.40257984,0.2,,
3,24.3,10.289659,0.40998265,13.019316,1.1689482,-0.3742403,0.2,,
3,24.4,10.326981,0.3407618,13.058468,0.3915219,-0.34809932,0.2,,
3,24.5,10.356709,0.2505825,13.007712,-0.5075553,-0.32546297,0.2,,
3,24.6,10.371266,0.044835586,13.045754,0.3804208,-0.3071535,0.2,,
3,24.7,10.362069,-0.19169089,13.150865,1.0511026,-0.293639,0.2,,
3,24.8,10.3369,-0.2586474,13.217755,0.668908,-0.28503436,0.2,,
3,24.9,10.319808,-0.06932992,13.145584,-0.7217127,-0.28124562,0.2,,
3,25,10.330254,0.24396858,13.007423,-1.3816082,-0.28216493,0.2,,
3,25.1,10.366814,0.42317927,12.984959,-0.22464769,-0.2876178,0.2,,
3,25.2,10.404946,0.3131502,13.067116,0.8215721,-0.29720968,0.2,,
3,25.3,10.423652,0.09486926,13.144878,0.7776268,-0.3102072,0.2,,
3,25.4,10.426039,-0.017383069,13.0992565,-0.45621914,-0.32570755,0.2,,
3,25.5,10.423811,-0.016459558,13.051712,-0.47544512,-0.3429173,0.2,,
3,25.6,10.4243765,0.027478697,13.097796,0.46084455,-0.36114353,0.2,,
3,25.7,10.432402,0.1479386,13.139326,0.41529694,-0.37970728,0.2,,
3,25.8,10.459241,0.36731374,13.078023,-0.6130319,-0.39789933,0.2,,
3,25.9,10.496322,0.35644242,13.063455,-0.14568338,-0.41478354,0.2,,
3,26,10.519616,0.12980135,13.155679,0.92224205,-0.42957208,0.2,,
3,26.1,10.516339,-0.14141493,13.271333,1.156541,-0.44170812,0.2,,
3,26.2,10.496824,-0.21748102,13.281433,0.10100379,-0.45088926,0.2,,
3,26.3,10.475271,-0.21236378,13.210609,-0.7082373,-0.4569759,0.2,,
3,26.4,10.451694,-0.26689452,13.1995535,-0.11055942,-0.45993268,0.2,,
3,26.5,10.418306,-0.3820077,13.246586,0.47032392,-0.45954287,0.2,,
3,26.6,10.37622,-0.48693505,13.256381,0.097951934,-0.45749155,0.2,,
3,26.7,10.315846,-0.66509026,13.232525,-0.23856169,-0.45251802,0.2,,
3,26.8,10.250101,-0.6266982,13.241975,0.094499625,-0.44515198,0.2,,
3,26.9,10.191826,-0.49527097,13.2835,0.4152397,-0.43685427,0.2,,
3,27,10.152312,-0.2779479,13.3033285,0.19828808,-0.42620137,0.2,,
3,27.1,10.135217,-0.024364717,13.327598,0.24269117,-0.4149051,0.2,,
3,27.2,10.141319,0.12982208,13.393702,0.66104776,-0.40316162,0.2,,
3,27.3,10.149934,0.10383986,13.4411125,0.4741047,-0.390389,0.2,,
3,27.4,10.15412,0.008075985,13.391592,-0.49521044,-0.37868538,0.2,,
3,27.5,10.149049,-0.10658658,13.310996,-0.80594623,-0.36737317,0.2,,
3,27.6,10.13421,-0.2538745,13.26768,-0.43315536,-0.35785815,0.2,,
3,27.7,10.103781,-0.34408432,13.311132,0.43449974,-0.35029334,0.2,,
3,27.8,10.0733385,-0.27191138,13.363726,0.52593994,-0.34492624,0.2,,
3,27.9,10.058625,-0.108845964,13.416763,0.5303627,-0.34133232,0.2,,
3,28,10.056163,-0.007400457,13.521611,1.0484738,-0.34039274,0.2,,
3,28.1,10.051438,-0.12482004,13.633389,1.1177841,-0.34098935,0.2,,
3,28.2,10.034913,-0.21882273,13.58395,-0.4943973,-0.34415329,0.2,,
3,28.3,10.005433,-0.3139901,13.480268,-1.0368265,-0.34897897,0.2,,
3,28.4,9.963553,-0.49714538,13.472816,-0.07449923,-0.35530648,0.2,,
3,28.5,9.90606,-0.5951492,13.524216,0.51399606,-0.36273423,0.2,,
3,28.6,9.855142,-0.42422536,13.443195,-0.81020266,-0.3709374,0.2,,
3,28.7,9.819988,-0.29616094,13.272628,-1.70567,-0.37947613,0.2,,
3,28.8,9.792762,-0.27824545,13.211784,-0.6084314,-0.38797382,0.2,,
3,28.9,9.759152,-0.39818007,13.288901,0.77118194,-0.3961292,0.2,,
3,29,9.710356,-0.5453637,13.393473,1.0457143,-0.40364358,0.2,,
3,29.1,9.654181,-0.5415029,13.36124,-0.32232752,-0.41021588,0.2,,
3,29.2,9.614542,-0.26835322,13.254993,-1.0624686,-0.41599068,0.2,,
3,29.3,9.602216,-0.017778879,13.219721,-0.35272568,-0.42060786,0.2,,
3,29.4,9.609759,0.14500874,13.248672,0.2895161,-0.42409134,0.2,,
3,29.5,9.63123,0.2780456,13.119978,-1.2869413,-0.42638558,0.2,,
3,29.6,9.6678505,0.4329967,12.855417,-2.6456075,-0.42728502,0.2,,
3,29.7,9.714292,0.4602979,12.6753235,-1.8009381,-0.42692116,0.2,,
